Taxon,Taxon_Shortname,pvalue,Persons,loglik,H2,SEH2,Va,SEVa,Ve,SEVe,mu,SEmu,ANTHRO.AGE,SEANTHRO.AGE,ANTHRO.AGE2,SEANTHRO.AGE2,gender,SEgender,ANTHRO.BMI,SEANTHRO.BMI,META.DNA.postclean.reads,SEMETA.DNA.postclean.reads,META.POOP.Freq,SEMETA.POOP.Freq,Varmu,VarANTHRO.AGE,VarANTHRO.AGE2,Vargender,VarANTHRO.BMI,VarMETA.DNA.postclean.reads,VarMETA.POOP.Freq,FDR
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides_cellulosilyticus,s_Bacteroides_cellulosilyticus,0.012,4745,-3317.13,0.1275,0.0322,0.1904,0.0544,1.3029,0.0584,-0.112959,0.0619992,0.00599454,0.00567371,-1.21E-05,6.34E-05,0.0894878,0.0358264,-0.00476313,0.0051609,-5.41E-09,3.73E-09,0.0426359,0.0326671,0.00780806,0.0242199,0.000424386,0.00199959,0.00320148,0.00444855,0.00100998,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides_clarus,s_Bacteroides_clarus,0.15,4745,-1066.75,0.0744,0.033,0.043,0.0205,0.5343,0.0228,0.0164973,0.0385656,0.000216572,0.00353282,-1.41E-05,3.95E-05,-0.0121642,0.0222918,-0.000965008,0.00321008,-2.70E-09,2.32E-09,0.014994,0.0203174,0.00267782,3.16E-05,0.000572264,3.69E-05,0.00013141,0.00111136,0.00012491,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides_coprocola,s_Bacteroides_coprocola,1,4745,-2653.63,0,0.0339,0,0.0382,1.1283,0.0447,0.101261,0.053871,0.00222007,0.0049392,-6.00E-05,5.53E-05,-0.0667485,0.0311662,0.00548896,0.00448357,-3.76E-09,3.24E-09,0.0599142,0.028377,0.00442495,0.00332197,0.0103791,0.00111249,0.00425153,0.0021535,0.00199445,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides_coprophilus,s_Bacteroides_coprophilus,0.078,4745,-936.07,0.0793,0.0329,0.0433,0.0194,0.5031,0.0215,0.0997228,0.0375203,0.00701655,0.00343679,-5.87E-05,3.85E-05,-0.0689147,0.0216868,-0.00107718,0.00312308,7.00E-10,2.26E-09,0.013489,0.0197669,0.00935568,0.0331825,0.00993545,0.00118587,0.000163736,7.44E-05,0.000101093,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides_dorei,s_Bacteroides_dorei,3.30E-07,4745,-5112.85,0.2136,0.0306,0.6835,0.1201,2.5156,0.1224,-0.147175,0.0905294,0.0101778,0.00826514,-5.56E-05,9.23E-05,0.09847,0.0523163,0.00433975,0.00753623,-1.49E-09,5.43E-09,0.0590486,0.0477135,0.0605594,0.0698177,0.00890312,0.00242115,0.00265764,0.000339091,0.00193723,7.76E-05
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides_eggerthii,s_Bacteroides_eggerthii,0.58,4745,-3534.63,0.0245,0.0336,0.0401,0.0562,1.5922,0.0646,-0.0448728,0.0648231,0.0120678,0.00594207,-9.19E-05,6.65E-05,0.0419794,0.0374892,-0.00623992,0.00539531,-5.65E-09,3.90E-09,0.0480813,0.0341475,0.00729087,0.0981557,0.0243584,0.000440033,0.00549444,0.00484681,0.00128444,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides_faecis,s_Bacteroides_faecis,0.0016,4745,-2378.92,0.1236,0.0322,0.1243,0.0366,0.8811,0.0393,0.0380412,0.0508748,0.00477697,0.0046561,-7.60E-05,5.21E-05,-0.0223895,0.0293985,-0.00373073,0.00423488,-8.28E-09,3.06E-09,0.0368099,0.0268055,0.0141724,0.0153803,0.0166609,0.000125171,0.00196406,0.010415,0.000752822,0.3168
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides_finegoldii,s_Bacteroides_finegoldii,0.077,4745,-527.49,0.0837,0.0329,0.0385,0.0164,0.4216,0.0181,0.00677782,0.0344264,9.70E-05,0.00315317,-1.63E-05,3.53E-05,-0.00807139,0.0198979,0.00378697,0.00286558,-6.24E-09,2.07E-09,0.0696105,0.0181372,0.00248459,6.34E-06,0.00076342,1.63E-05,0.00202371,0.00591787,0.00269224,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides_fragilis,s_Bacteroides_fragilis,0.14,4745,-2507.94,0.0626,0.0331,0.0664,0.0374,0.9931,0.0418,-0.0777536,0.0522443,0.00104497,0.00478674,-5.24E-05,5.36E-05,0.057192,0.0302015,0.00362766,0.00434858,-6.55E-09,3.14E-09,0.0837541,0.0275231,0.00627402,0.00073599,0.00791057,0.000816741,0.00185703,0.00652899,0.0038974,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides_intestinalis,s_Bacteroides_intestinalis,1,4745,-1300.92,0,0.0339,0,0.0227,0.6693,0.0265,-0.0772343,0.0414906,0.000569637,0.00380409,-4.37E-06,4.26E-05,0.0485189,0.0240037,0.00383963,0.00345318,-5.73E-09,2.50E-09,-0.017299,0.0218555,0.00182887,0.000218705,5.52E-05,0.000587807,0.00208039,0.00499485,0.000166267,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides_massiliensis,s_Bacteroides_massiliensis,0.00012,4745,-3300.37,0.1698,0.0314,0.2524,0.055,1.2336,0.0576,0.270228,0.0617902,-0.000672927,0.00564868,-4.36E-05,6.31E-05,-0.170988,0.0357039,0.0206739,0.00514368,2.14E-10,3.71E-09,0.107688,0.0325613,0.0646772,0.000305209,0.00547735,0.00730034,0.0603131,6.95E-06,0.0064431,0.02628
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides_nordii,s_Bacteroides_nordii,0.85,4745,-1566.82,0.0113,0.0337,0.008,0.0243,0.704,0.0282,0.0380349,0.042806,-0.00991395,0.00392435,0.000100226,4.40E-05,-0.0251688,0.0247606,0.00210744,0.00356272,-5.73E-09,2.58E-09,0.00480896,0.0225489,0.0211592,0.0662452,0.0289814,0.000158175,0.000626721,0.00498307,1.28E-05,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides_ovatus,s_Bacteroides_ovatus,6.80E-05,4745,-4346.08,0.1764,0.0313,0.4075,0.0857,1.9024,0.0893,0.0360202,0.0770253,-0.0250735,0.00704015,7.75E-05,7.87E-05,-0.00592488,0.0445074,0.0200674,0.00641194,6.54E-09,4.62E-09,0.199228,0.0405905,0.0649271,0.423731,0.0173466,8.77E-06,0.0568262,0.00650159,0.0220527,0.015096
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides_plebeius,s_Bacteroides_plebeius,0.037,4745,-2557.79,0.0956,0.0327,0.1035,0.0389,0.9794,0.0426,0.0381889,0.0528171,0.0103706,0.00483657,-0.000128274,5.41E-05,-0.0321687,0.0305249,0.00470324,0.00439643,-4.63E-09,3.18E-09,0.0336978,0.0278269,0.010622,0.0724883,0.0474719,0.000258393,0.00312148,0.00326011,0.000630908,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides_salyersiae,s_Bacteroides_salyersiae,1,4745,210.31,0,0.0339,0,0.0115,0.3406,0.0135,-0.0371294,0.0296,-0.00346553,0.00271389,2.79E-05,3.04E-05,0.0231166,0.0171246,0.00368069,0.00246355,-2.90E-10,1.78E-09,0.0154082,0.0155921,0.000434239,0.0080947,0.00225208,0.000133433,0.00191172,1.28E-05,0.000131906,1
k_Bacteria.p_Bacteroidetes.c_Bacteroidia.o_Bacteroidales.f_Bacteroidaceae.g_Bacteroides.s_Bacteroides_stercoris,s_Bacteroides_stercoris,0.0077,4745,-5468.89,0.1191,0.0323,0.4404,0.1342,3.2569,0.1448,0.211342,0.0975676,0.00217416,0.00893029,-0.000121523,9.99E-05,-0.147528,0.0563813,0.045753,0.0081216,-3.35E-08,5.86E-09,0.0948279,0.0514068,0.0554717,0.003186,0.0426069,0.00543456,0.295396,0.170211,0.00499615,1
