id	name
UniRef90_A0A2I8VQC7	UniRef90_A0A2I8VQC7 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A2I8VLD2	UniRef90_A0A2I8VLD2 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A497NZT2	UniRef90_A0A497NZT2 3-beta hydroxysteroid dehydrogenase
UniRef90_M0HSH5	UniRef90_M0HSH5 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_M0HHQ3	UniRef90_M0HHQ3 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_A0A0F8VA87	UniRef90_A0A0F8VA87 3-alpha-(Or 20-beta)-hydroxysteroid dehydrogenase
UniRef90_A0A0F8VM81	UniRef90_A0A0F8VM81 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
UniRef90_A0A365TC15	UniRef90_A0A365TC15 3-beta hydroxysteroid dehydrogenase
UniRef90_M0CN49	UniRef90_M0CN49 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_L5NJL2	UniRef90_L5NJL2 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_A0A1Q9NM18	UniRef90_A0A1Q9NM18 3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase
UniRef90_A0A2R6K0F0	UniRef90_A0A2R6K0F0 3-beta hydroxysteroid dehydrogenase
UniRef90_L9Y896	UniRef90_L9Y896 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_M0P6P6	UniRef90_M0P6P6 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_A0A0D6JRI7	UniRef90_A0A0D6JRI7 3-alpha-(Or 20-beta)-hydroxysteroid dehydrogenase
UniRef90_J3JEK4	UniRef90_J3JEK4 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_A0A1Q9MS31	UniRef90_A0A1Q9MS31 3-beta hydroxysteroid dehydrogenase/isomerase family
UniRef90_M0I8Y2	UniRef90_M0I8Y2 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_A0A1Q9MS95	UniRef90_A0A1Q9MS95 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_A0A1Q9MSC1	UniRef90_A0A1Q9MSC1 3-beta hydroxysteroid dehydrogenase/isomerase family
UniRef90_A0A1Q9N0C7	UniRef90_A0A1Q9N0C7 3-beta hydroxysteroid dehydrogenase/isomerase family
UniRef90_L9XG59	UniRef90_L9XG59 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_A0A161WAF4	UniRef90_A0A161WAF4 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A179HE60	UniRef90_A0A179HE60 3-alpha-(Or 20-beta)-hydroxysteroid dehydrogenase
UniRef90_N4VA63	UniRef90_N4VA63 3-alpha-(Or 20-beta)-hydroxysteroid dehydrogenase
UniRef90_N4VUS1	UniRef90_N4VUS1 17-beta-hydroxysteroid dehydrogenase 13
UniRef90_N4VQT9	UniRef90_N4VQT9 3-beta hydroxysteroid dehydrogenase
UniRef90_N4VD28	UniRef90_N4VD28 3-alpha-hydroxysteroid dehydrogenase/carbonyl reductase
UniRef90_N4VVR4	UniRef90_N4VVR4 3-alpha-(Or 20-beta)-hydroxysteroid dehydrogenase
UniRef90_N4UPJ1	UniRef90_N4UPJ1 3-beta hydroxysteroid dehydrogenase isomerase family protein
UniRef90_N4VTC6	UniRef90_N4VTC6 3-beta hydroxysteroid dehydrogenase
UniRef90_O93874	UniRef90_O93874 17beta-hydroxysteroid dehydrogenase
UniRef90_H1UYI8	UniRef90_H1UYI8 3-alpha-(Or 20-beta)-hydroxysteroid dehydrogenase
UniRef90_H1VMR2	UniRef90_H1VMR2 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_A0A2H5RGR7	"UniRef90_A0A2H5RGR7 11beta-hydroxysteroid dehydrogenase-like, putative"
UniRef90_A0A0K3CBB9	UniRef90_A0A0K3CBB9 BY PROTMAP: gi|472584702|gb|EMS22288.1| 3-alpha(Or 20-beta)-hydroxysteroid dehydrogenase [Rhodosporidium toruloidesP11] gi|647399191|emb|CDR43724.1| RHTO0S08e04940g1_1 [Rhodosporidium toruloides]
UniRef90_A0A1A7MSA3	UniRef90_A0A1A7MSA3 3-alpha--hydroxysteroid dehydrogenase
UniRef90_A0A1R1PHW5	UniRef90_A0A1R1PHW5 11-beta-hydroxysteroid dehydrogenase-like 2
UniRef90_A0A0W7VU25	UniRef90_A0A0W7VU25 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_B2VUL3	UniRef90_B2VUL3 3-alpha-(Or 20-beta)-hydroxysteroid dehydrogenase
UniRef90_C1H182	UniRef90_C1H182 3-beta-hydroxysteroid dehydrogenase
UniRef90_B2WH43	UniRef90_B2WH43 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_A0A2J6R901	UniRef90_A0A2J6R901 7-alpha-hydroxysteroid dehydrogenase
UniRef90_A0A2J6RH33	UniRef90_A0A2J6RH33 3-alpha--hydroxysteroid dehydrogenase
UniRef90_A0A2J6R1Z0	UniRef90_A0A2J6R1Z0 Putative 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_A0A1Y2UB01	UniRef90_A0A1Y2UB01 3-alpha--hydroxysteroid dehydrogenase
UniRef90_A0A1Y2TGA4	UniRef90_A0A1Y2TGA4 3-beta-hydroxysteroid dehydrogenase
UniRef90_A0A1Y2AKM8	UniRef90_A0A1Y2AKM8 3-alpha--hydroxysteroid dehydrogenase
UniRef90_A0A0F4YJ96	UniRef90_A0A0F4YJ96 17-beta-hydroxysteroid dehydrogenase
UniRef90_A0A0F4YHU4	UniRef90_A0A0F4YHU4 7-alpha-hydroxysteroid dehydrogenase
UniRef90_A0A177C540	UniRef90_A0A177C540 3-alpha--hydroxysteroid dehydrogenase
UniRef90_R1GEG6	UniRef90_R1GEG6 Putative 3-beta hydroxysteroid dehydrogenase isomerase family protein
UniRef90_A0A177CYU9	UniRef90_A0A177CYU9 3-beta hydroxysteroid dehydrogenase/isomerase family protein-like protein
UniRef90_W9XWI6	UniRef90_W9XWI6 7-alpha-hydroxysteroid dehydrogenase
UniRef90_R1EYR2	UniRef90_R1EYR2 Putative 3-beta hydroxysteroid dehydrogenase isomerase family protein
UniRef90_R1EF78	UniRef90_R1EF78 Putative 3-beta hydroxysteroid dehydrogenase isomerase family protein
UniRef90_R1EV90	UniRef90_R1EV90 Putative 3-beta hydroxysteroid dehydrogenase protein
UniRef90_A0A1C9U6B1	UniRef90_A0A1C9U6B1 3-beta hydroxysteroid dehydrogenase
UniRef90_A0A2P5HXG5	UniRef90_A0A2P5HXG5 3-beta-hydroxysteroid dehydrogenase
UniRef90_A0A0F7SQ32	UniRef90_A0A0F7SQ32 C-3 sterol dehydrogenase/3-beta-hydroxysteroid dehydrogenase and related dehydrogenases
UniRef90_A0A2P5HKT6	UniRef90_A0A2P5HKT6 3-beta-hydroxysteroid dehydrogenase
UniRef90_I8TSX8	UniRef90_I8TSX8 C-3 sterol dehydrogenase/3-beta-hydroxysteroid dehydrogenase
UniRef90_A0A433PDT0AD-dependent	UniRef90_A0A433PDT0AD-dependent epimerase/dehydratase:3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_A0A433PIJ3	UniRef90_A0A433PIJ3 3-beta hydroxysteroid dehydrogenase/isomerase family-domain-containing protein (Fragment)
UniRef90_I8IJS2	UniRef90_I8IJS2 C-3 sterol dehydrogenase/3-beta-hydroxysteroid dehydrogenase
UniRef90_A0A3G9IHG8	UniRef90_A0A3G9IHG8 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_A1CR18	"UniRef90_A1CR18 3-beta hydroxysteroid dehydrogenase/isomerase family protein, putative"
UniRef90_A0A0F9X942	UniRef90_A0A0F9X942 3-alpha-(Or 20-beta)-hydroxysteroid dehydrogenase
UniRef90_A0A3N2Q173	UniRef90_A0A3N2Q173 3-alpha--hydroxysteroid dehydrogenase
UniRef90_A0A2T2ZU86	UniRef90_A0A2T2ZU86 3-beta hydroxysteroid dehydrogenase/isomerase family-domain-containing protein
UniRef90_A0A3N2PS76	UniRef90_A0A3N2PS76 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_C5FI08	UniRef90_C5FI08 3-alpha-(Or 20-beta)-hydroxysteroid dehydrogenase
UniRef90_C5FVF2	UniRef90_C5FVF2 17-beta-hydroxysteroid dehydrogenase
UniRef90_C5FCG7	UniRef90_C5FCG7 17-beta-hydroxysteroid dehydrogenase
UniRef90_A0A1C7NQC4	UniRef90_A0A1C7NQC4 11-beta-hydroxysteroid dehydrogenase 1B
UniRef90_H1VBB5	UniRef90_H1VBB5 3-beta-hydroxysteroid dehydrogenase (Fragment)
UniRef90_A0A1B7YJV7	UniRef90_A0A1B7YJV7 3-alpha-(Or 20-beta)-hydroxysteroid dehydrogenase
UniRef90_A0A1C7M5T4	UniRef90_A0A1C7M5T4 11-beta-hydroxysteroid dehydrogenase-like 2
UniRef90_A0A317XT84	UniRef90_A0A317XT84 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_A0A1B7YHN2	UniRef90_A0A1B7YHN2 3-alpha-(Or 20-beta)-hydroxysteroid dehydrogenase
UniRef90_A0A395NVL6	UniRef90_A0A395NVL6 3-beta hydroxysteroid dehydrogenase isomerase
UniRef90_M7SXZ7	UniRef90_M7SXZ7 Putative 3-beta hydroxysteroid dehydrogenase protein
UniRef90_H6C825	UniRef90_H6C825 7-alpha-hydroxysteroid dehydrogenase
UniRef90_M7TEP2	UniRef90_M7TEP2 Putative 3-beta hydroxysteroid dehydrogenase isomerase family protein
UniRef90_M7SJU4	UniRef90_M7SJU4 Putative 3-beta-hydroxysteroid dehydrogenase protein
UniRef90_M7SHR7	UniRef90_M7SHR7 Putative 3-beta-hydroxysteroid dehydrogenase protein
UniRef90_M7SRW6	UniRef90_M7SRW6 Putative 17beta-hydroxysteroid dehydrogenase protein
UniRef90_M7SVE4	UniRef90_M7SVE4 Putative 3-beta-hydroxysteroid dehydrogenase protein
UniRef90_H6BLQ3	UniRef90_H6BLQ3 7-alpha-hydroxysteroid dehydrogenase
UniRef90_M7T876	UniRef90_M7T876 Putative 3-beta hydroxysteroid dehydrogenase protein
UniRef90_A0A316V808	UniRef90_A0A316V808 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_M7STS5	UniRef90_M7STS5 Putative 3-beta hydroxysteroid dehydrogenase isomerase family protein
UniRef90_M7STJ2	UniRef90_M7STJ2 Putative 3-beta hydroxysteroid dehydrogenase isomerase protein
UniRef90_A0A316UDT6	UniRef90_A0A316UDT6 3-beta hydroxysteroid dehydrogenase/isomerase (Fragment)
UniRef90_A0A395MSE2	UniRef90_A0A395MSE2 7-alpha-hydroxysteroid dehydrogenase
UniRef90_A0A318Z2I9	UniRef90_A0A318Z2I9 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_A0A1Y1W800	UniRef90_A0A1Y1W800 3-beta hydroxysteroid dehydrogenase/isomerase (Fragment)
UniRef90_A0A286UHM2	UniRef90_A0A286UHM2 3-beta hydroxysteroid dehydrogenase isomerase family containing
UniRef90_A0A318ZJT2	UniRef90_A0A318ZJT2 7-alpha-hydroxysteroid dehydrogenase
UniRef90_A0A4R8T1J4	UniRef90_A0A4R8T1J4 3-alpha-hydroxysteroid dehydrogenase/carbonyl reductase
UniRef90_G2WXB4	UniRef90_G2WXB4 3-beta-hydroxysteroid dehydrogenase
UniRef90_G2XD81	UniRef90_G2XD81 3-beta hydroxysteroid dehydrogenase/isomerase family protein
UniRef90_G2X5Y1	UniRef90_G2X5Y1 3-alpha-(Or 20-beta)-hydroxysteroid dehydrogenase
UniRef90_G2X608	UniRef90_G2X608 3-alpha-(Or 20-beta)-hydroxysteroid dehydrogenase
UniRef90_G2WWQ0	UniRef90_G2WWQ0 3-alpha-(Or 20-beta)-hydroxysteroid dehydrogenase
UniRef90_G2X729	UniRef90_G2X729 17-beta-hydroxysteroid dehydrogenase
UniRef90_A0A167FMH9	UniRef90_A0A167FMH9 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_A0A166BNR4	UniRef90_A0A166BNR4 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_A0A0G2FE10	UniRef90_A0A0G2FE10 Putative 17beta-hydroxysteroid dehydrogenase
UniRef90_A0A0G2FKA1	UniRef90_A0A0G2FKA1 Putative 17-beta-hydroxysteroid dehydrogenase
UniRef90_A0A0G2HR87	UniRef90_A0A0G2HR87 Putative 17beta-hydroxysteroid dehydrogenase
UniRef90_A0A0G2HQM3	UniRef90_A0A0G2HQM3 Putative 3-beta hydroxysteroid dehydrogenase isomerase family
UniRef90_A0A2J6QJK2	UniRef90_A0A2J6QJK2 7-alpha-hydroxysteroid dehydrogenase
UniRef90_A0A2J6PS20	UniRef90_A0A2J6PS20 Putative 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_A0A135L8I4	UniRef90_A0A135L8I4 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_A0A135LIC2	UniRef90_A0A135LIC2 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_A0A2S7QWS2	UniRef90_A0A2S7QWS2 3-beta hydroxysteroid dehydrogenase isomerase protein
UniRef90_A0A084GA93	UniRef90_A0A084GA93 3-beta hydroxysteroid dehydrogenase isomerase family
UniRef90_A0A084G2F0	UniRef90_A0A084G2F0 20-alpha-hydroxysteroid dehydrogenase
UniRef90_A0A084G6S2	UniRef90_A0A084G6S2 20-alpha-hydroxysteroid dehydrogenase
UniRef90_A0A179HKT4	UniRef90_A0A179HKT4 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_A0A4Q7JUV1	UniRef90_A0A4Q7JUV1 3-beta hydroxysteroid dehydrogenase/isomerase
UniRef90_A0A0F0HZ73	UniRef90_A0A0F0HZ73 17beta hydroxysteroid dehydrogenase-like classical c SDR
UniRef90_A0A2D3UYM2	UniRef90_A0A2D3UYM2 Related to C-3 sterol dehydrogenase/3-beta-hydroxysteroid dehydrogenase and related dehydrogenases
UniRef90_A0A2D3VJC7	UniRef90_A0A2D3VJC7 Related to 20beta-hydroxysteroid dehydrogenase
UniRef90_A0A164ZTN7	UniRef90_A0A164ZTN7 7-alpha-hydroxysteroid dehydrogenase
UniRef90_A0A0J8UAV4	UniRef90_A0A0J8UAV4 3-alpha-(Or 20-beta)-hydroxysteroid dehydrogenase
UniRef90_A0A1G4AT27	UniRef90_A0A1G4AT27 3-beta hydroxysteroid dehydrogenase/isomerase
