"Greenspace NDVI","Pet ownership","Pet ownership Cat","Per ownership Dog","NO2 Concentration","PM2.5 Concentration","Smoking Passive","Smoking Active","Smoker Active, 1 Year+","Smoker, Stopped","Urbanicity","General Health"
-2.14466023015458,0,0,0,0,0,0,3.50424211172802,4.35195736840734,0,0,-3.68440620284774
2.72425747736797,-2.33490439435506,0,-2.68741865418688,0,1.97595389500154,-3.00568559941511,-4.27375056124254,-4.3418701573177,0,0,5.24549905108143
0,3.55538238022852,2.87928918868174,2.53764501229153,0,0,3.5789119433405,5.00604769589096,4.84262501393918,2.27231859294008,0,-5.73491245362186
0,-2.28154743694193,0,-3.3633831637399,0,0,-4.45636545996815,-6.94553804735829,-5.52792291875114,-2.0310031227485,0,5.41763302105761
0,0,0,0,0,0,3.63216112637696,4.72940155440076,2.79130741837426,0,0,-3.44370654187372
3.34740086298099,0,0,0,-3.49739644714855,0,0,2.60945683539272,0,0,3.09598224310185,2.35877779773802
2.92358014579709,3.44305820868956,3.45165043825766,3.15703479719973,-4.40100256183034,0,0,0,-2.4954899487254,0,2.93100832558408,2.37569066129417
4.07630343155933,3.13304700278304,3.27039205959471,2.71929222392054,-5.1674509703019,0,0,0,-2.94398851839758,0,3.80576574030661,2.18422164438349
-1.97267209701083,0,0,0,0,0,-2.3420869670418,-4.1626879421527,0,1.97847579156788,0,-3.31927807220021
0,-2.03355871443738,0,-2.45439494082408,0,0,-3.05166741416775,-7.0924168485186,-3.16456241067444,0,0,0
0,-2.36823403658842,-2.01953462196575,-2.85840166506962,3.70577929841063,3.66689903531824,0,-2.2494115159463,-2.72874637942614,0,-3.3671813488317,0
2.16822017966959,0,0,0,0,0,-3.20946879041051,-4.99211301706272,-3.45501149869833,0,0,5.44580861448636
-3.91906702466316,-3.2308720716301,-1.98141212991755,-3.82054460461404,5.0416449865044,0,0,0,0,0,-3.4203188426757,0
3.02816904233339,2.96142684223887,0,4.28792014932541,-2.98170977232516,-3.74503684214538,0,2.33793895123658,0,0,2.69808616620561,4.26998579315041
0,0,0,-2.48621517536,0,0,-4.50403619945897,-8.15462231475635,-4.76494059778832,0,0,0
0,0,0,0,0,0,0,-6.19045250208685,-2.63193206334565,0,2.50466402106842,3.32483168241887
