"D.Cardiomet.Thrombosis","D.Cancer.NonBasal","D.Cardiomet.Arrythmia","D.Cardiomet.Cholesterol.high","D.Cardiomet.Heartrate.complains","D.Cardiomet.Hypertension","D.Cardiomet.DiabetesT2","D.GI.IBD.CD","D.GI.IBD.UC","D.GI.Stomach.Ulcer","D.GI.Gallstones","D.Mental.Bipolar","D.Mental.Burnout","D.Mental.Depression","D.Mental.Eating.disorder","D.Neuro.Fibromyalgia","D.Neuro.Migraine","D.Other.Rheumatoid.Arthritis","D.Other.Chronic.Cystitis","D.Other.Chronic.Inflammation.Throatnose","D.Other.Chronic.Muscle.Weakness","D.Other.Osteoarthritis","D.Pulmonary.Asthma","D.Pulmonary.COPD","D.Skin.Atopic.dermatitis","ACE_inhibitors_ATC_C09AA","Antibacterials_ATC_J01","Antipsychotics_atypical_ATC_N05AH","Beta_blokkers_ATC_C07AB","Biguanides_ATC_A10BA","Calcium_antagonists_ATC_C08CA","Corticosteroids_Eyedrops_ATC_S03A","Corticosteroids_Oral_ATC_H02","Fluorochinolons_ATC_C08DA","Intestinal_antiinflammatory_agents_ATC_A07E","Laxatives_osmotic_ATC_A06AD","Laxatives_volume_increasing_ATC_A06AC","Other_Alimentary_Metabolism_ATC_A","PPIs_ATC_A02BC","Salycilates_ATC_B01AC","Seratonine_uptake_inhibitors_selective_ATC_N06AB","Statines_ATC_C10AA","Sulfonylureumderivaties_ATC_A10BB","Tricyclic_antidepressants_ATC_N06AA","Vitamine_B_ATC_A11DA","D.GI.IBS.Any","D.GI.IBS.TypeM","D.GI.IBS.TypeD","D.GI.FGID.Bloating","D.GI.Discomfort.Unwell","D.GI.Discomfort.Pain","D.GI.Discomfort.Flatulence","D.GI.Discomfort.Burping","D.GI.Discomfort.Nausea","General Health"
0,0,0,0,0,0,-5.24093182077689,-5.42290857252469,0,0,0,0,-2.07053416920492,-2.25494137184819,0,0,0,0,0,0,0,0,0,0,0,0,-4.13012641820491,-3.89178784875841,0,-3.74626664119618,0,0,0,-3.46290476238792,-2.07471378490611,2.25818612111615,0,-3.36150498361502,0,0,-2.10940122838478,0,-4.16072573354086,0,-3.89170076748165,-3.13203620513795,-2.68969959293868,0,0,-3.30733954596626,-2.00371931305321,0,0,-3.94457883190415,2.89168902365704
0,0,0,3.53823187818439,0,0,2.97969323422136,5.49814069249181,0,0,3.24860304216442,0,3.41641886428983,2.10111920412899,0,0,2.7826547176976,2.37857231104732,0,2.42763287304687,2.12537923024153,2.24924750216889,2.86143352562868,2.21625461018659,0,2.34215742031878,3.6530430617394,0,5.43896193865988,1.99145651878488,2.62574913775466,0,0,0,0,3.50467529960527,2.39225816651851,2.09880766775706,2.22297344293294,0,0,2.33617647301605,0,0,3.68768769118809,3.68678284119405,0,4.26992073279866,0,5.90264809318413,6.91439591566225,0,3.82538061628903,4.33798796743667,-5.3571722510764
0,0,0,2.09592070582965,0,0,3.79919273506754,0,0,0,0,0,0,0,0,0,0,-2.11909284371646,2.51711125602258,0,0,0,0,2.23533987888348,0,3.26063257892612,3.39811617902174,0,0,3.28197212693664,2.02615686499415,0,0,0,0,3.12858697122088,0,0,0,0,0,0,2.05688028121959,0,0,0,2.11759608851801,0,0,2.27982385012569,3.55185678507867,0,2.64130637103763,3.13631093611541,-3.13446347981205
-3.1193968900898,0,0,0,0,0,-3.58760612417121,0,0,0,-2.8154239306317,0,0,-2.13571868864789,0,-2.99048174505812,0,-2.19649844609684,0,0,-3.16937218596447,-3.53258571890058,-3.69982340942857,-3.05816142589094,-2.76290316409254,-2.01404561256968,0,0,-2.00271469512619,-3.1832569305756,0,0,0,0,-2.20398344577354,0,0,0,-3.91216217855618,0,0,0,0,0,0,-4.10768406410191,-3.20711119165141,-2.10865703199331,0,-2.88931233500247,-3.32748522503945,-2.62417388309685,-3.10467616697199,-2.05345961506136,5.85590266907742
0,0,0,0,0,0,-4.84067199443956,0,0,0,0,0,-3.17412404242522,-2.6401404688239,0,-2.33248854548253,-3.24409244383302,0,0,0,0,0,-3.22491977725077,-4.83733893564149,-4.05152313118141,-1.99074308203421,0,-3.30083668439544,-2.46576338687387,-5.43221145540904,0,0,0,0,0,0,0,0,-3.78348215257584,0,-4.09292757225272,-2.50131120425548,-3.76667930746496,0,0,-2.14037927309784,0,0,-1.99307136574543,-3.01480771309399,0,0,-2.84918256603471,-2.38048528709446,5.12697063608922
0,0,0,0,2.05311681387874,0,0,0,0,0,0,0,2.33585361486068,0,0,0,0,0,0,0,0,0,2.96251710411436,0,0,2.86305958177171,2.2826977480558,0,0,2.75269991636304,0,0,0,0,0,4.25175646521697,2.23949966885122,0,0,3.70254825322864,0,0,0,0,2.50105794608312,2.28385505454872,0,0,0,3.42215196034579,3.13749405480838,0,0,3.52477927004361,-2.48778854962759
0,0,0,2.31711158807567,0,0,0,0,2.20545798900518,0,0,2.27133256037593,0,0,0,0,2.12321996306223,0,0,0,2.42057497805129,0,0,2.15362447307228,0,0,5.36326176241402,2.92953767223241,2.30268095564988,0,0,0,0,3.81805326354625,0,0,3.46675354533416,0,0,2.30631072605979,0,2.45156211209134,0,2.85393637697089,0,0,0,0,0,2.39466234536823,2.60495668115872,0,0,2.05374823014621,-3.78208098753555
0,0,0,3.24001197692127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64626781533283,0,0,0,0,0,0,0,0,4.37047836225034,0,0,0,0,0,0,0,4.05025997311809,0,2.54880775974153,2.77307264416871,0,0,2.74397423041568,4.01420239322343,0,0,3.21554616694628,-3.30088896178093
0,0,0,0,0,0,-4.02263822452581,-2.09397034813668,-2.04416467902979,0,0,0,0,0,0,0,0,0,0,0,-3.27560424327466,0,0,-2.7739793032087,0,0,-4.07576979595935,0,0,-3.56940522100117,0,0,0,0,-4.6475952978565,0,0,0,0,0,0,0,-3.97417783727526,0,0,0,0,0,0,0,0,0,-2.28189748863831,0,4.46724301371352
0,0,0,0,0,-2.12300134272496,0,0,0,0,0,0,0,0,0,0,0,-3.77456891818383,0,0,0,0,0,0,0,0,-4.95112998276843,0,0,0,0,0,-2.40770784473737,-3.06040848221643,-3.32071005203308,-1.97347052198399,0,0,-2.6824150151274,-3.7393177232841,0,0,0,-2.41028332261008,0,0,0,0,0,-2.45177909620842,0,-2.53200890856219,0,0,0
