"D.Cancer.NonBasal","D.Cardiomet.Arrythmia","D.Cardiomet.Cholesterol.high","D.Cardiomet.DiabetesT2","D.Cardiomet.Heartrate.complains","D.Cardiomet.Hypertension","D.Cardiomet.Thrombosis","D.GI.Discomfort.Burping","D.GI.Discomfort.Flatulence","D.GI.Discomfort.Nausea","D.GI.Discomfort.Pain","D.GI.Discomfort.Unwell","D.GI.FGID.Bloating","D.GI.Gallstones","D.GI.IBD.CD","D.GI.IBD.UC","D.GI.IBS.Any","D.GI.IBS.TypeD","D.GI.IBS.TypeM","D.GI.Stomach.Ulcer","D.Mental.Bipolar","D.Mental.Burnout","D.Mental.Depression","D.Mental.Eating.disorder","D.Neuro.Fibromyalgia","D.Neuro.Migraine","D.Other.Chronic.Cystitis","D.Other.Chronic.Inflammation.Throatnose","D.Other.Chronic.Muscle.Weakness","D.Other.Osteoarthritis","D.Other.Rheumatoid.Arthritis","D.Pulmonary.Asthma","D.Pulmonary.COPD","D.Skin.Atopic.dermatitis","General Health"
3.06317824322777,2.30009304354998,1.99306409362457,5.1081589248364,2.27579097946999,3.11460402877846,0,2.70806294329416,2.22626843527896,4.29682593567103,3.91004525281771,4.53387771171723,3.63949224358309,5.53712631076585,2.5434989369548,0,3.44525954909951,2.8601687402711,2.86955239468526,3.17883706986354,3.34668064965629,5.15542115858657,3.41435567110974,3.69001881081734,3.32253391776433,3.30709074237788,0,3.41911838543217,2.51993332662147,2.31767071863835,0,4.10276513105326,5.38961718002912,0,-7.74618876655468
4.01443255516838,0,2.92435674986879,7.44213949506791,0,4.5105847430914,2.20518408035636,0,0,4.58540192766109,4.77920532053863,4.76570407469093,3.96411206736042,5.7949690002527,2.89450858264906,3.01096195576394,3.23358787352063,4.27399395876316,2.02650412297714,2.25441220292936,3.61996614902865,2.65282551733936,2.75306775811559,4.84946040370739,2.81928073246025,0,2.0093389557524,2.53914637403784,2.58153669676398,2.18419140892309,0,0,2.33158743665003,0,-6.04511179625298
0,0,0,4.8011378058308,0,0,0,3.20286798116886,0,2.78767915225326,3.23788238809078,3.21252354560225,0,5.3951649709519,2.17675179772257,0,3.0172882596366,3.09798447184715,0,0,0,0,0,0,0,2.09478938830285,0,3.82186184072946,0,0,0,2.79918384097412,2.48975792929212,0,-4.97562946052334
2.75536561041246,0,2.72285916913054,6.79596135644694,0,2.56092308946124,0,0,0,2.4977129940948,0,0,0,2.31698202010833,0,3.70415411741648,0,2.00789598627516,0,0,0,0,0,3.10621575711603,2.79312412066757,0,2.27636139632101,0,2.15891291897041,2.72777762862149,0,0,0,0,-4.53661614748858
2.26404175303471,0,2.06385408150157,0,0,0,0,0,1.96202416701783,0,3.85206056941021,2.56944487109898,0,2.42274962167138,0,0,0,0,0,0,0,0,0,0,4.07537930445605,0,3.16228764730122,0,2.19314795864331,3.22365790559847,0,0,0,0,-6.40437543300719
3.9493621559878,1.96371350594705,0,3.7044486927226,2.34674296282962,2.98225024481524,3.30780434200269,2.47427160518394,0,4.18329229141147,3.81684250244894,3.02274016327928,0,4.8106549711355,2.45074036085209,1.9682260589673,3.53285893857434,2.13163509553079,2.97251223196194,0,3.69482370740862,3.32196679001083,4.12839021441497,0,3.15226494834333,2.10015335908297,2.1060982049869,2.57641927582616,4.31094834028676,0,2.13057113592788,2.12830425857529,2.7216613043815,2.97610585565311,-5.69297082329223
3.33342763364477,0,2.73468852916176,0,3.73065529409252,0,0,2.15118147664132,2.22214829989422,0,0,0,0,0,0,0,0,0,0,0,0,2.40530227435857,0,0,2.43696324097479,0,2.62386277305371,0,2.94857045437249,2.19342734402161,0,2.28007186827629,2.93674158127626,3.20979132087177,-6.62749040238022
0,0,0,-5.24093182077689,0,0,0,0,0,-3.94457883190415,-2.00371931305321,-3.30733954596626,0,0,-5.42290857252469,0,-3.13203620513795,0,-2.68969959293868,0,0,-2.07053416920492,-2.25494137184819,0,0,0,0,0,0,0,0,0,0,0,2.89168902365704
0,0,3.53823187818439,2.97969323422136,0,0,0,3.82538061628903,0,4.33798796743667,6.91439591566225,5.90264809318413,0,3.24860304216442,5.49814069249181,0,3.68678284119405,4.26992073279866,0,0,0,3.41641886428983,2.10111920412899,0,0,2.7826547176976,0,2.42763287304687,2.12537923024153,2.24924750216889,2.37857231104732,2.86143352562868,2.21625461018659,0,-5.3571722510764
0,0,2.09592070582965,3.79919273506754,0,0,0,2.64130637103763,0,3.13631093611541,3.55185678507867,2.27982385012569,0,0,0,0,0,0,2.11759608851801,0,0,0,0,0,0,0,2.51711125602258,0,0,0,-2.11909284371646,0,2.23533987888348,0,-3.13446347981205
